132	AB	NC(CCCCNC(=O)OCCCCCC1SCC2NC(=O)NC21)C(=O)O
134	AD	N[C@@H](CC1=CC=CC=C1)C(=O)O
135	AE	CC(=O)[C@@H](N)CC1=CC=C(Br)C=C1
136	AF	N[C@@H](CC1=CC=C(I)C=C1)C(=O)O
137	AG	CC(C)(C)OC1=CC=C(C[C@H](N)C(=O)O)C=C1
138	AH	COC1=CC=C(C[C@H](N)C(=O)O)C=C1
139	AI	C#CCOC1=CC=C(C[C@H](N)C(=O)O)C=C1
140	AJ	C=CCOC1=CC=C(C[C@H](N)C(=O)O)C=C1
141	AK	C=CCCOC1=CC=C(C[C@H](N)C(=O)O)C=C1
142	AL	C=CCCCOC1=CC=C(C[C@H](N)C(=O)O)C=C1
143	AM	N[C@@H](CC1=CC=C(OCC2=CC=CC=C2)C=C1)C(=O)O
144	AN	N[C@@H](CC1=CC=CC(F)=C1)C(=O)O
145	AO	N[C@@H](CC1=CC=CC(Cl)=C1)C(=O)O
146	AP	N[C@@H](CC1=CC=CC(Br)=C1)C(=O)O
147	AQ	N[C@@H](CC1=CC=CC(I)=C1)C(=O)O
148	AR	CC1=CC(C[C@H](N)C(=O)O)=CC=C1
149	AS	N[C@@H](CC1=CC=CC(C(F)(F)F)=C1)C(=O)O
150	AT	COC1=CC(C[C@H](N)C(=O)O)=CC=C1
151	AU	CC(=O)C1=CC(C[C@H](N)C(=O)O)=CC=C1
152	AV	C#CC1=CC(C[C@H](N)C(=O)O)=CC=C1
153	AW	[N-]=[N+]=NC1=CC(C[C@H](N)C(=O)O)=CC=C1
154	AX	N#CC1=CC(C[C@H](N)C(=O)O)=CC=C1
155	AY	N[C@@H](CC1=CC=CC([N+](=O)O)=C1)C(=O)O
156	AZ	CC(=O)C1=CC(C[C@H](N)C(=O)O)=CC=C1
157	BA	C#CC1=CC(C[C@H](N)C(=O)O)=CC=C1
158	BB	[N-]=[N+]=NC1=CC(C[C@H](N)C(=O)O)=CC=C1
159	BC	N#CC1=CC(C[C@H](N)C(=O)O)=CC=C1
160	BD	N[C@@H](CC1=CC=CC([N+](=O)O)=C1)C(=O)O
161	BE	CCCC(=O)C1=CC=CC(C[C@H](N)C(=O)O)=C1
162	BF	CCCCC(=O)C1=CC=CC(C[C@H](N)C(=O)O)=C1
163	BG	CCCCCC(=O)C1=CC=CC(C[C@H](N)C(=O)O)=C1
164	BH	CCOC1=CC=CC(C[C@H](N)C(=O)O)=C1
165	BI	CCCOC1=CC=CC(C[C@H](N)C(=O)O)=C1
166	BJ	CCCCOC1=CC=CC(C[C@H](N)C(=O)O)=C1
167	BK	CCCCCOC1=CC=CC(C[C@H](N)C(=O)O)=C1
168	BL	CCCCCCOC1=CC=CC(C[C@H](N)C(=O)O)=C1
169	BM	N[C@@H](CC1=CC2=C(C=C1)OCO2)C(=O)O
